Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Products,Default Category,1,Yes,products,"<p>Are you looking for industry leading rattan sectionals, sofas, chairs or outdoor products? Rattan Outdoor Furniture is renown for our attention to detail and the longevity of our quality products. We meticulously craft every piece to depict refined designs and sleek angles found in high-end hotels and restaurants, but now available for your home. Become enamored with our intricately hand-woven eco-friendly, synthetic rattan resin carefully set to display astounding craftsmanship and sophisticated styling. High-density, powder-coated aluminum frames remain sturdy even in the most demanding of environments and are naturally rust-free. Throughout the seasons, our products remain the centerpiece of any environment. Softly textured Allure fabrics captivate our rattan outdoor products with their vibrant colors but continuously display their durability with UV protection preventing color fading and the absorption of moisture.</p><p>The aesthetic appeal and strength of our rattan outdoor products are just the beginning as you can purchase rattan lounge furniture, tables, bar furniture and accessories at the lowest prices on the market. Our unique products are never overpriced as we strive to make leading outdoor patio furniture affordable to a wide variety of clients.  Acquiring customized or in-stock rattan products is as easy as glancing through our website and using the convenience of our swatch book and galleries to coordinate outdoor products designed to depict luxury and sophistication.</p><p>Our sales associates are available to lend you a hand in all inquiries about our incredible rattan outdoor products. Call us at <a href='tel:18442728826'>(844) 2-RATTAN</a> and receive the assistance of highly qualified operators. All emails can be sent to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com.</a></p>",products.jpg,Products,Products,Are you looking for high end outdoor products at low end prices? Rattan Outdoor Furniture is renown for our discounted furniture and continue to lead the ecommerce market in customer satisfaction. Shop now and save.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Products,2,Yes,accessories,"<p>We have a selection beyond our outdoor furniture and expanded into our rattan and wicker accessories. Our craftsmen carefully design all of our accessories to create cherished, long lasting decor. We provide quality accessories such as our outdoor lighting, storage bins and planters, all made from the same durable rattan and wicker used on our furniture. Place your accessories on the front porch or back porch or enhance your poolside, weather and moisture is not an issue.</p><p>Truly transform your outdoor living space, restaurant or resort with our accessories made to compliment all furnishings and decor. Customize cushions, pillows, and then order outdoor rugs umbrellas and bases. Protect your rattan sectional from the elements with our furniture covers. As always, we offer the lowest prices on the market. Take a look at our endless in-stock options and you&#039;ll receive fast shipping. From the initial purchase of your accessories to the years of enjoyment, it&#039;s clear to see why customer satisfaction is the number one goal when you email us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> or call <a href='tel:18442728826'>(844) 2-RATTAN</a>.</p>",accessories.jpg,Accessories,Accessories,"Bring the endless selection of our stunning accessories onto your patio today with the astonishing Rattan Outdoor Furniture merchandise, designed for high-end by priced for the everyday consumer.",Yes,Products only,,No,,,No layout updates,
Bar Furniture,Default Category/Products,3,Yes,bar-furniture,"<p>With our rattan outdoor bar furniture, having your friends over for summer gatherings will become a weekly tradition. No more concerns of weather induced blemishes because our bar furniture is tested to provide comfort and durability season after season. Our commercial-grade, powder-coated, all-weather aluminum frames are constructed to hold to Viro resin rattan strands. Our plush cushions are upholstered in exclusive Allure fabrics with fade resistant technology. Transform your patio or deck into a beachside haven by purchasing handcrafted bar furniture completed with jade cushioned stools. Tailor rattan bar furniture to your specifications or choose from our fully stocked collections. Do you need assistance in selecting your bar furniture? Call our in-house designers and they&#039;ll help in purchasing rattan outdoor bar furniture that will highlight every inch of your backyard, home or restaurant.</p><p>From single to large hospitality orders, we proudly serve customers of all kinds and rattan outdoor bar furniture shipments are sent throughout the United States. We provide you with the lowest discounts on the market, so convert your patio into your own personal paradise with our incredible bar furniture today. Start your order by clicking the &quot;buy now&quot; tab or talking with our well-trained operators. Inquire about details on your eye-catching bar furniture and choose our quick shipping options.</p><p>To have all your rattan outdoor bar furniture questions answered, call us at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Our rapid response email service is also available at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",bar-furniture.jpg,Bar Furniture,Bar Furniture,"Purchase bar furniture at prices so low, they&#039;re normally reserved for inventory clearances. We continually provide high-end merchandise that is recognized as leading in quality and discounts.",Yes,Products only,,No,,,No layout updates,
Cafe Sets,Default Category/Products,4,Yes,cafe-sets,"<p>Our many visually pleasing cafe sets will transform your patio into a small bistro perfect for reading that classic novel or sipping your morning coffee. Rattan outdoor cafe sets offer a clean look for all outdoor spaces along with the convenience of all-weather Viro resin. All of our cafe sets encourages beauty and elegance with every in-stock chair designed with high-density foam cushioning and upholstered in our exclusive Allure fabrics. For quiet alone time or quaint, intimate gatherings, our cafe sets are the perfect addition to any porch, patio, or deck and include tables with low-maintenance tempered glass tops. Our aluminum frames, industry leading textiles and synthetic rattan will resist fading, cracking and moisture absorption. Choose from sophisticated contemporary cafe sets with unique round chairs or a more classic ornate appearance customized with solid finishes and wonderfully elegant upholstery.</p><p>Snug and inviting, our rattan outdoor cafe sets are sure to bring you joy for years to come and they can be bought at the lowest prices on the market, guaranteed. We continue to supply affordable cafe sets to all restaurants, hotels, resorts and country clubs. To order your cafe sets today, click the &quot;buy now&quot; tab or call us at <a href='tel:18442728826'>(844) 2-RATTAN</a>. We&#039;ll answer all of your questions and discuss all accessories available to coincide with your rattan outdoor cafe sets and furniture collections. We are also available through email at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",bistro-sets.jpg,Cafe Sets,Cafe Sets,Valuable cafe sets are sold at rock bottom prices every day at Rattan Outdoor Furniture. We specialize in premium furniture crafted with the commercial-grade materials and sold to you at factory direct prices.,No,Products only,,No,,,No layout updates,
Chairs,Default Category/Products,5,Yes,chairs,"<p>Enhance your patio with the solace of breathtaking chairs that welcome comfort and durability into any home. The luxury of premium craftsmanship and sleek designs, make our outdoor patio chairs surely a sight to behold. With style and pure functionality, you&#039;ll be able to convey your individuality by choosing from our vibrant and color infused fabrics available on all of our impressive chairs. Selecting the right Viro resin finish will aid in the complement of your surroundings with distinctive chairs. From the seaside to a rooftop apartment, bring the serenity of the ocean with our breathtaking outdoor patio chairs and furniture collections today.</p><p>How does the elegance of our striking chairs holdup to unpredictable weather conditions? Rattan Outdoor Furniture handcrafts all of our impeccable chairs to remain resilient in the harshest of climates. With our synthetic resin rattan and nonferrous aluminum frames, your amazing chairs, will continue to retain their shine. Even our plush Allure fabrics are designs with spun polyester that will not absorb moisture and prevents your chairs from fading. Sink into the comfort of our chairs Indentation Load Deflection (ILD) cushions, and let the worries of your day quickly dissipate on our deep seated chairs.</p><p>Obtain trending outdoor patio chairs today by ordering directly off our website or contacting our sales team at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Send email your chairs inquires to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>, and ask our in-house designers to assist you in the purchase of your uniquely tailored rattan chairs and furniture sets.</p>",chairs.jpg,Chairs,Chairs,"Acquire breathtaking chairs that have the added benefits of affordability, premium craftsmanship and free shipping. Truly embrace your environment with Rattan Outdoor Furniture and our exceptional products.",Yes,Products only,,No,,,No layout updates,
Daybeds,Default Category/Products,6,Yes,daybeds,"<p>Do you want to enjoy the luxury of indulging in outdoor naps? Our daybeds make the perfect addition to any rattan outdoor furniture collections. These daybeds are ideal on decks, patios, and verandas and they can also be used on cruise ships or at resorts. Find comfort in our plush pillows as you take a nap or read a book. Sink into the high-density (HD), high-resilience (HR) cushions that can be customized to fit your color preferences with our Sunbrella fabric options and experience the relaxation that accompanies our daybeds with high indentation deflections. We also offer daybeds with contrasting welting to provide a subtle elegance. Unlike rattan furniture from other companies, our daybeds require little maintenance, and yet they still retain the classy, natural look of rattan furniture because they are woven from high-density, polyethylene Viro resin strands. Handcrafted with precision and diligence, our daybeds will not chip, peel, or crack and are resistant to damage from the seasonal elements. You can count on our daybeds to remain tough and last for continual use throughout the years, as our 100% powder-coated aluminum frames are constructed for ultimate strength.</p><p>Want high-quality daybeds delivered directly to the location of your choice? One of our in-stock daybeds will be shipped wherever you wish within 24 hours of your purchase. You can order daybeds now by calling us at <a href='tel:18442728826'>(844) 2-RATTAN</a> or you can email us with any questions at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",daybeds.jpg,Daybeds,Daybeds,Recreation is found on the comfort of exceptional daybeds crafted for your enjoyment and priced for affordability. Purchase our distinctive products knowing you&#039;ll always receive high quality and discounted prices.,No,Products only,,No,,,No layout updates,
Deck Furniture,Default Category/Products,7,Yes,deck-furniture,"<p>Curl up to rattan outdoor deck furniture and enjoy late night talks on our luxurious collections without ever leaving your house. Discover the java of Seattle on our dark Viro resin-finished deck furniture sets and listen to the sounds of the ocean on our plush cushions. Rattan outdoor deck furniture is essential to any deck, providing the comforts of home while surrounded by nature&#039;s sweet serenade. Tailor quality rattan outdoor deck furniture to your needs by piecing together contrasting welting and cushion colors. Entice your guests with your seaside deck experience on a stylish dinner set and entice their every bite with Hawaiian themed deck furniture. Look for traditional deck furniture with saddle arms or add modern class through subtly angled curves.</p><p>Rattan outdoor deck furniture opens your eyes to a new outdoor haven, made with durable materials such as our powder-coated, rustproof aluminum frames to withstand the elements. Even when exposed to the moist, salty ocean air and hot, unforgiving sun, our deck furniture is resilient. We want your personalized rattan outdoor deck furniture purchase to be a lasting investment, which is why customer satisfaction has always been our number one goal. Call us today at <a href='tel:18442728826'>(844) 2-RATTAN</a> or email us <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>. We will place all of your customized rattan outdoor deck furniture orders or choose from our in-stock selection, so all of your items are shipped immediately.</p>",products.jpg,Deck Furniture,Deck Furniture,Purchase premium deck furniture with the assurance of a trusted ecommerce member. Rattan Outdoor Furniture lists their products at jaw dropping savings and provides free shipping for orders delivered within the U.S.,No,Products only,,No,,,No layout updates,
End Tables,Default Category/Products,8,Yes,end-tables,"<p>Add versatility and style to your patio, deck, or poolside with our one-of-a-kind rattan outdoor end tables. Place end tables on either side of your couch and their sleek design will complement your living room, or place one outside by your sectional and our end tables will offer a nice resting spot for your favorite magazine. Place your favorite plant atop your end tables and greet guests with your vibrant green display. Look for soft golden finishes or dark solid colors. Rattan end tables will fit neatly underneath a bay window or graciously by your grill. The sturdy furniture frame will stabilize all lighting and decor. The outdoors have never felt more cozy with furniture end tables arranged and then rearranged with ease.</p><p>Rattan outdoor end tables furniture pieces are completed with our low-maintenance tempered glass tops, which only reflect style and class. Our glass is made with extra strength so your heaviest of vases will sit nicely atop. Place your rattan tables outside and don&rsquo;t worry about the weather conditions depleting their value. Our outdoor finishes are UV and water resistant. Our aluminum frames are powder-coated to remain rust-free while our rattan end tables state your desire for fashion and longevity.</p><p>Rattan outdoor end tables furniture can be yours today by calling us at <a href='tel:18442728826'>(844) 2-RATTAN</a> or emailing us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>. We want to put a smile on your face while you feature our quality end tables and furniture in your home.</p>",end-tables.jpg,End Tables,End Tables,Tailor your outdoors to include brilliantly crafted end tables sold to you at breathtakingly low prices. Be admired by all who come to your home and offer distinctive furnishings by choosing Rattan Outdoor Furniture.,No,Products only,,No,,,No layout updates,
Essentials,Default Category/Products,9,Yes,essentials,"<p>How can you bring even more luxury to your patio or porch with unsurpassed rattan and wicker essentials? Our outdoor essentials will bring additional class to your home, from hampers to lighting and umbrellas, the choices are endless. All of your potted plants can proudly be displayed nestled in our essentials planters. Accommodating rattan essentials, are crafted with the same innovating techniques used on our outdoor furniture. Master artisans carefully piece each Viro resin rattan strand together to create cherished essentials that will remain durable throughout the years. Timelessly pleasing essentials are designed to coincide with all of our products. Our sectionals pair nicely under cantilever umbrellas shading you from the summer heat, and all dining sets will be glowing under the bright illumination of rattan lighting. Go beyond accessorizing and connect your home with personality and style by applying top-grade essentials to your outdoors.</p><p>Essentials are not just for personal homes, we specialize in orders for hotels, restaurants, designers and dealers. Speak with one of our knowledgeable customer care representatives and ask for details about how you can quickly add class to your country club&#039;s patio with practical essentials. Place our hanging baskets above every bistro table or accent your resort&#039;s pool area with elegant flower pots. Tailor each piece to blend into your surroundings or purchase our superb in-stock outdoor essentials, ready for quick shipping.</p><p>Order your rattan outdoor essentials and furniture online now or call our toll-free number at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Contact our furniture sales team 24-hours a day by email, <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",accessories.jpg,Essentials,Essentials,Recognize premium decadent exterior displays using our exceptional essentials made from industry leading materials and sold at incredibly affordable prices. Rattan Outdoor Furniture offers free shipping on all orders.,No,Products only,,No,,,No layout updates,
Furniture Sets,Default Category/Products,10,Yes,furniture-sets,"<p>Rattan outdoor furniture sets are the prime source for enjoying the outdoors. Add furniture sets to your patio, deck, hotel poolside, or resort garden. Choose from the most intimate of three piece sets to the largest of dining sets for the party planner in you. Stylish furniture sets can be modified for fine dining with elegant chairs and tables or you can move your whole living room to your back yard with a loveseat, lounge chair, and coffee table. Become a mixologist in the most pleasant of conditions with our patio bar set and sleep under the stars on an exquisite daybed, all available in our rattan furniture sets. Durable furniture sets can give your deck coastal tranquility or add tropical paradise to your patio. Rattan outdoor furniture sets add to your landscape and are resilient no matter what the forecast shows. Bring furniture sets to the poolside right in the splash zone, as a little water will not hurt our all-weather, powder-coated, high-grade aluminum frames. Even our cushioned seats and sofas are made for fast drying. Rustproof frames and UV resistant Allure fabric will keep your superior furniture sets looking brand new.</p><p>We offer the lowest price on all our rattan outdoor furniture sets guaranteed. Have all of your rattan outdoor furniture sets questions answered now by calling us at <a href='tel:18442728826'>(844) 2-RATTAN</a> or emailing us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",products.jpg,Furniture Sets,Furniture Sets,Striking furniture sets can be bought today at specialized prices during our incredible sales event. Add chromatic color to any environment and take note of our prime craftsmanship at Rattan Outdoor Furniture.,No,Products only,,No,,,No layout updates,
