Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Products,Default Category,1,Yes,products,"<p>Are you looking for industry leading rattan sectionals, sofas, chairs or outdoor products? Rattan Outdoor Furniture is renown for our attention to detail and the longevity of our quality products. We meticulously craft every piece to depict refined designs and sleek angles found in high-end hotels and restaurants, but now available for your home. Become enamored with our intricately hand-woven eco-friendly, synthetic rattan resin carefully set to display astounding craftsmanship and sophisticated styling. High-density, powder-coated aluminum frames remain sturdy even in the most demanding of environments and are naturally rust-free. Throughout the seasons, our products remain the centerpiece of any environment. Softly textured Allure fabrics captivate our rattan outdoor products with their vibrant colors but continuously display their durability with UV protection preventing color fading and the absorption of moisture.</p><p>The aesthetic appeal and strength of our rattan outdoor products are just the beginning as you can purchase rattan lounge furniture, tables, bar furniture and accessories at the lowest prices on the market. Our unique products are never overpriced as we strive to make leading outdoor patio furniture affordable to a wide variety of clients.  Acquiring customized or in-stock rattan products is as easy as glancing through our website and using the convenience of our swatch book and galleries to coordinate outdoor products designed to depict luxury and sophistication.</p><p>Our sales associates are available to lend you a hand in all inquiries about our incredible rattan outdoor products. Call us at <a href='tel:18442728826'>(844) 2-RATTAN</a> and receive the assistance of highly qualified operators. All emails can be sent to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com.</a></p>",products.jpg,Products,"Rattan, Outdoor, Furniture, All, Newest, Products",Take one look at our rattan outdoor furniture and you will definitely see why we continue to lead the market.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Accessories,Default Category/Products,2,Yes,accessories,"<p>We have a selection beyond our outdoor furniture and expanded into our rattan and wicker accessories. Our craftsmen carefully design all of our accessories to create cherished, long lasting decor. We provide quality accessories such as our outdoor lighting, storage bins and planters, all made from the same durable rattan and wicker used on our furniture. Place your accessories on the front porch or back porch or enhance your poolside, weather and moisture is not an issue.</p><p>Truly transform your outdoor living space, restaurant or resort with our accessories made to compliment all furnishings and decor. Customize cushions, pillows, and then order outdoor rugs umbrellas and bases. Protect your rattan sectional from the elements with our furniture covers. As always, we offer the lowest prices on the market. Take a look at our endless in-stock options and you&#039;ll receive fast shipping. From the initial purchase of your accessories to the years of enjoyment, it&#039;s clear to see why customer satisfaction is the number one goal when you email us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> or call <a href='tel:18442728826'>(844) 2-RATTAN</a>.</p>",accessories.jpg,Accessories,"Accessories, Furniture, Rattan, Wicker, Outdoor",We have a selection beyond our outdoor furniture and expanded into our rattan and wicker accessories.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Affordable Furniture,Default Category/Products,3,No,affordable-furniture,"<p>Rattan outdoor affordable furniture offers you the elite sophistication of outdoor furniture without emptying your pocketbook. Durable affordable furniture is made with top notch materials, from rust-proof, all-weather, powder-coated, high-grade aluminum frames to the firmly secured, 100% hand-woven RAUCORD resin strands and our Allure textiles. Up and down, our rattan affordable furniture are fade and water resistant. For bold affordable furniture, we offer a plethora of selections to choose from, such as modern chairs and Bohemian styled sofas. Browse through rattan affordable furniture fabric and finish samples online or have them sent right to your home. Luxurious affordable furniture breathes life into your back yard, garden, porch or pool.</p><p>Outdoor rattan affordable furniture will have you asking, &quot;Why didn&#039;t I contact them sooner?&quot; Our furniture will complete your outdoor living with the addition of our coffee table and a plush sofa. Look for ottomans, fine dining sets, and personalized sectionals through our online store. Our wide array of affordable furniture is inviting to all and will encourage party guests to stay an extra hour. You might even wake up early just to relax on your lounge chair and watch the morning tide. Rattan affordable furniture is shipped directly to your home with very little assembly required. Order your affordable furniture set today by calling us at <a href='tel:18442728826'>(844) 2-RATTAN</a> or sending an email to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",,Affordable Furniture,"Affordable, Furniture, Rattan, Outdoor",Rattan outdoor affordable furniture offers you the elite sophistication of outdoor furniture without emptying your pocketbook.,No,Products only_AND_Static block only,,Yes,,,No layout updates,
Affordable Outdoor Furniture,Default Category/Products,4,No,affordable-outdoor-furniture,"<p>High-end, rattan affordable outdoor furniture unites superior craftsmanship with the lowest prices in the business. Enjoy unique and gorgeous affordable outdoor furniture all while remaining inside your budget. We offer selection ranging from three to nine piece dining sets and modular sectionals to accommodate all of our customers. Durable rattan affordable outdoor furniture incorporates high-resilient, high-density (HR) foam-seating, optional DACON wrapped back cushioning coupled with sturdy, rust-proof, all-weather aluminum frames. Functionality and excellence comes standard with all of your rattan affordable outdoor furniture purchases.</p><p>Are you looking for high-quality and affordable outdoor furniture for your country club, resort or home? All of our affordable outdoor furniture can be customized to meet your business&#039; style or coincide with your current decor. Start from the ground up and ask our expertly trained staff, who can work with you to achieve the perfect design for your affordable outdoor furniture. Whether you&#039;re looking to add personal flare to your deck or an unforgettable welcome to your resort&#039;s front porch, we have the right affordable outdoor furniture to accentuate your surroundings.</p><p>You can order your rattan affordable outdoor furniture online today or give us a call at <a href='tel:18442728826'>(844) 2-RATTAN</a>. For all inquiries, send a request to our rapid response email at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>. Affordable outdoor furniture and our customer satisfaction is why we continually receive a five-star e-commerce rating. We are standing by and ready to make you our next satisfied customer.</p>",,Affordable Outdoor Furniture,"Affordable, Outdoor, Furniture, Rattan","High-end, rattan affordable outdoor furniture unites superior craftsmanship with the lowest prices in the business.",No,Products only_AND_Static block only,,Yes,,,No layout updates,
Affordable Patio Furniture,Default Category/Products,5,No,affordable-patio-furniture,"<p>Want the luxury of rattan outdoor affordable patio furniture without sacrificing quality? We have luxurious and high-quality affordable patio furniture to fit your budget. Just because our prices are low, doesn&#039;t mean our affordable patio furniture is short on value. All of our outdoor furniture is made from the strong hands of our craftsmen. Detailed affordable patio furniture has strands of strength and frames of powder-coated aluminum sure to withstand the toughest of weather conditions. Our furniture is complex, including our fade and water resistant Allure cushions. Leading in style and vibrancy our affordable outdoor patio furniture continues to look brilliant and attractive season after season. Compliment your environment with affordable patio furniture and inquire about our premier warranties available with every purchase.</p><p>Affordable patio furniture comes in casual and formal designs. Exquisite affordable patio furniture starts with our outdoor rattan nine piece sectional, which can be conformed to fit your patio and includes a magazine holder for all of your monthly subscriptions. Crafted affordable patio furniture has hand-woven chairs to transform your poolside into a Florida beach and bring London sophistication to your garden. You can&#039;t go wrong with rattan affordable patio furniture.</p><p>Ordering your rattan affordable patio furniture is as easy as picking up your phone and dialing <a href='tel:18442728826'>(844) 2-RATTAN</a> or sending us an email at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>. Rattan Outdoor Furniture can&#039;t wait to ship your affordable patio furniture right to your front door.</p>",,Affordable Patio Furniture,"Affordable, Patio, Furniture, Rattan, Outdoor",Want the luxury of rattan outdoor affordable patio furniture without sacrificing quality? We have luxurious and high-quality affordable patio furniture to fit your budget.,No,Products only_AND_Static block only,,Yes,,,No layout updates,
Affordable Wicker Furniture,Default Category/Products,6,No,affordable-wicker-furniture,"<p>Are you looking for sophisticated outdoor products that are high-quality but low cost? Search no further, as our company supplies affordable wicker furniture that you&#039;ll be excited to brag about. We don&#039;t think you should have to settle for less just because your budget&#039;s a bit tight at the moment, so shop with us and we&#039;ll give you affordable wicker furniture you can be proud of. Even our most affordable wicker furniture demonstrates nothing but greatness in every hand-woven RAUCORD resin strand and powder-coated aluminum frame.</p><p>Our selection of affordable wicker furniture we offered is compiled of every type of product we make, from bar stools to outdoor dining sets. Perhaps you&#039;d like affordable wicker furniture to arrange near your pool so that you can present yourself to clients in a classy way during business meetings. We have chairs, couches, tables, and more that will make everyone think you&#039;re an affluent member of society. Perhaps you&#039;d like affordable wicker furniture that speaks volumes about your creative side. Choose from various outdoor swings and benches that feature vibrant designs with our UV-resistant Allure fabric and contrasting welting.</p><p>Is there any assembly required of you upon receiving your purchase of affordable wicker furniture? Every piece of affordable wicker furniture we provide is already assembled before we ship it to you so that you have little to no work to do. So if you&#039;re ready to receive affordable wicker furniture, call <a href='tel:18442728826'>(844) 2-RATTAN</a> or email us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> to order today.</p>",,Affordable Wicker Furniture,"Affordable, Wicker, Furniture, furniture, Outdoor","Are you looking for sophisticated outdoor products that are high-quality but low cost? Search no further, as our company supplies affordable wicker furniture that you'll be excited to brag about.",No,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather,Default Category/Products,7,No,all-weather,"<p>Rattan outdoor all-weather durability is ready to give you comfort rain or shine. Using traditional construction techniques combined with innovative outdoor rattan technology, each piece is created by weaving together thick strands of resin for incredibly durable and waterproof all-weather strength. Our armchairs or loveseats are designed with all-weather Allure fabric that is resistant to water-absorption and color fading. Order all-weather tables and enjoy the low-maintenance tempered glass top. Exquisite all-weather outdoor furniture has thickly gauged, long lasting durability with rust resistant powder-coated aluminum frames and the highly sought after RAUCORD resin. Our all-weather crafting techniques exceeds the imagination, enabling you to pick from sofas, tables, rockers, and gliders that will last for years past our competitors products. All-weather outdoor furniture is an eye-catcher with a tactile, luxurious, textured appearance everybody is sure to love.</p><p>We have your rattan all-weather accessory needs, such as patio umbrellas to shade your friends during those hot summer days or our outdoor loveseat for pleasurable seating arrangements. Talk with our expertly trained sales team and they&#039;ll address any of your all-weather inquires. All-weather durability enables Rattan Outdoor Furniture to become a leading brand in the business and retains our high e-commerce rating. Your yard will soon become a summertime destination with our plush and comfortable all-weather rattan furniture.</p><p>Learn more about all-weather strength by calling Rattan Outdoor Furniture at <a href='tel:18442728826'>(844) 2-RATTAN</a> or launching an email to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",,All-Weather,"All-Weather, Rattan, Outdoor, Furniture",Rattan outdoor all-weather durability is ready to give you comfort rain or shine.,No,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather Fabrics,Default Category/Products,8,No,all-weather-fabrics,"<p>Rattan outdoor all-weather fabrics keep your furniture striking and vibrant all year long. Hot or cold, rain or shine, no matter what the climate our all-weather fabrics inhibit color fading and prevent moisture absorption. Our all-weather fabrics are made from exclusive Allure textiles and is designed with state-of-the-art technology to keep your outdoor furniture fresh and ready to greet all who stop by. Our all-weather fabrics cover your outdoor furniture in particularly eye-catching color and you&#039;ll instantly feel the comfort of our high-density cushions. You&#039;ll accentuate your rattan sofa, sectional or couch with our all-weather fabrics and create a true eye-catching patio experience.</p><p>Our all-weather fabrics continue to lead the industry in resilience and endurance.</p><p>Your family&#039;s busy lifestyle can keep moving along without the worry of an occasional accident damaging your all-weather fabrics. Glance through our online swatch book and imagine the custom color combinations you can create to transform your deck or patio or choose from our exquisite in stock collection of all-weather fabrics already upholstered on our rattan outdoor furniture and ready to be shipped. Become enthusiastic about entertaining friends and settle into the calm and comfort of our all-weather fabrics.</p><p>Contact our specialized sales staff and order your outdoor rattan all-weather fabrics online today or contact our customer service at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Send your all-weather fabrics and rattan outdoor furniture inquires to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",,All-Weather Fabrics,"All-Weather, Fabrics, All-weather, fabrics, Rattan, Outdoor, Furniture",Rattan outdoor all-weather fabrics keep your furniture striking and vibrant all year long.,No,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather Outdoor Fabrics,Default Category/Products,9,No,all-weather-outdoor-fabrics,"<p>You&#039;ll take note of our vibrant colors as well as the immense durability of our all-weather outdoor fabrics. Low-maintenance and meticulously crafted, all-weather outdoor fabrics are comprised from our exclusive Allure fabric line. Maintain your cushion&#039;s colors without the worry of fading, since our all-weather outdoor fabrics inhibit sun damage as well as prevent moisture from being absorbed. With all-weather outdoor fabrics, our company&#039;s products last for years past our competitors and will standup to the most extreme of climates. All-weather outdoor fabrics have proven longevity along with stunning style and class.</p><p>All-weather outdoor fabrics are designed with state-of-the-art technology to keep your outdoor furniture fresh and ready to greet all who stop by. Our all-weather outdoor fabrics cover your furniture in particularly eye-catching color and you&#039;ll instantly feel the comfort of our high-density cushions. You&#039;ll accent your rattan sofa, sectional or couch with our all-weather outdoor fabrics and create an unique eye-catching patio experience. We have online and tangible samples so you can experience both our Allure and optional Sunbrella fabrics. For designers and dealers, our all-weather outdoor fabrics samples enable your clients to feel and see our superior products. Rattan Outdoor Furniture is positive, once you have seen our all-weather outdoor fabrics, you will become another one of our satisfied customers.</p><p>Order your all-weather outdoor fabrics samples and furniture online today or call us at <a href='tel:18442728826'>(844) 2-RATTAN</a>, and email your rattan furniture questions to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",,All-Weather Outdoor Fabrics,"All-Weather, Outdoor, Fabrics, Rattan, Furniture",You'll take note of our vibrant colors as well as the immense durability of our all-weather outdoor fabrics.,No,Products only_AND_Static block only,,Yes,,,No layout updates,
All-Weather Outdoor Patio Furniture,Default Category/Products,10,No,all-weather-outdoor-patio-furniture,"<p>Our quality all-weather outdoor patio furniture is the epitome of strength and luxury. Our classic construction techniques of intricately hand-woven rattan will bring ambiance to all of your swimming pool with the added durability of RAUCORD resin which will resist moisture absorption. Keep your all-weather outdoor patio furniture outside no matter what the forecast foretells. Our high-density, high-resilient, powder-coated aluminum frames have very little maintenance required, and find brilliantly colored upholstery for your all-weather outdoor patio furniture made from moisture and sun resistant Allure fabrics. Rattan all-weather outdoor patio furniture will enhance your deck with the utmost sophistication.</p><p>Rattan all-weather outdoor patio furniture perfectly accents all resorts, hotels, or restaurants decor while retaining it&#039;s unconditional strength. Have guests enjoy the fresh scent of flowers as they relax on a lounge chair in your motel&#039;s courtyard. Find our tempered-glass top coffee tables among our all-weather outdoor patio furniture and pair it up with an ivory sectional. Don&#039;t forget our sun shading umbrellas will complete your rattan all-weather outdoor patio furniture collection. Encourage relaxation and compliment environment with the durability of our all-weather outdoor patio furniture.</p><p>Rattan all-weather outdoor patio furniture is just a phone call away. Our knowledgeable staff is excited to answer all of your questions and start you on your all-weather outdoor patio furniture order. Call us at <a href='tel:18442728826'>(844) 2-RATTAN</a> or send an email to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",,All-Weather Outdoor Patio Furniture,"All-Weather, Outdoor, Patio, Furniture, Rattan",Our quality all-weather outdoor patio furniture is the epitome of strength and luxury.,No,Products only_AND_Static block only,,Yes,,,No layout updates,
