Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Featured,Default Category,2,No,featured,,newCategoryImages/_MG_0757.jpg,,,,No,Products only,,No,,,No layout updates,
Products,Default Category,3,Yes,products,"<p>Are you looking for industry leading rattan sectionals, sofas, chairs or outdoor products? Rattan Outdoor Furniture is renown for our attention to detail and the longevity of our quality products. We meticulously craft every piece to depict refined designs and sleek angles found in high-end hotels and restaurants, but now available for your home. Become enamored with our intricately hand-woven eco-friendly, synthetic rattan resin carefully set to display astounding craftsmanship and sophisticated styling. High-density, powder-coated aluminum frames remain sturdy even in the most demanding of environments and are naturally rust-free. Throughout the seasons, our products remain the centerpiece of any environment. Softly textured Allure fabrics captivate our rattan outdoor products with their vibrant colors but continuously display their durability with UV protection preventing color fading and the absorption of moisture.</p><p>The aesthetic appeal and strength of our rattan outdoor products are just the beginning as you can purchase rattan lounge furniture, tables, bar furniture and accessories at the lowest prices on the market. Our unique products are never overpriced as we strive to make leading outdoor patio furniture affordable to a wide variety of clients. Acquiring customized or in-stock rattan products is as easy as glancing through our website and using the convenience of our swatch book and galleries to coordinate outdoor products designed to depict luxury and sophistication.</p><p>Our sales associates are available to lend you a hand in all inquiries about our incredible rattan outdoor products. Call us at (888) 555-555 and receive the assistance of highly qualified operators. All emails can be sent to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",newCategoryImages/_MG_0757.jpg,Products,Products,Are you looking for high end outdoor products at low end prices? Rattan Outdoor Furniture is renown for our discounted furniture and continue to lead the ecommerce market in customer satisfaction. Shop now and save.,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
3 Piece Bar Set,Default Category/Products/Bar Furniture,1,Yes,3-piece-bar-set,"<p>Have you seen Rattan Outdoor Furniture or our industry leading rattan outdoor 3 piece bar set? Intricately designed for ample storage for all of your barware, are detailed with clean lines and sleek angles. Refined, 100% hand-woven RAUCORD rattan resin on our meticulously crafted three-piece bar set remains virtually maintenance free. Eco-friendly materials are all commercial grade, including our optional eye-catching marble and standard tempered glass tops, cleaned by using just soap and water. Strong, high-density aluminum frames give your rattan 3 piece bar set everlasting resilience. Highlight your outdoor entertaining with our incredible rattan 3 piece bar set. Online customization options and in-stock products can be chosen from our quickly shipped, handcrafted, rattan three-piece bar set selection. Ornate your poolside with our sophisticated 3 piece bar set or discover patterned fabric and colored resin for your bar stools. The choices continue to amaze with optional Sunbrella fabric and contrasting welting. Our unsurpassed 3 piece bar set will bring pure entertainment to your home.</p><p>Purchase your 3 piece bar set online today or by calling Rattan Outdoor Furniture at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Send all emails to sales@<a href='http://rattanoutdoorfurntiure.com' title='rattanoutdoorfurntiure.com' rel='external' target='_default'>rattanoutdoorfurntiure.com</a>. Our rattan three-piece bar set will finish your porch, deck or pool landscape while maintaining its durable throughout the years. From water absorption prevention to color infused finishes, your sturdy 3 piece bar set offers commercial-grade protection. Your meticulously crafted 3 piece bar set will remain flawless throughout the seasons.</p>",newCategoryImages/_MG_0786.jpg,3 Piece Bar Set,3 Piece Bar Set,Rattan Outdoor Furniture is leading the industry with our high-end and affordable 3 piece bar set. Purchase at a wholesale rate and receive free shipping.,No,Products only,,No,,,No layout updates,
3 Piece Bistro Set,Default Category/Products/Tables and Bases,1,Yes,3-piece-bistro-set,"<p>Want a 3 piece bistro set to give your restaurant patrons the ultimate 5-star dining experience? Across all 50 states, our superior 3 piece bistro set is providing prime seating in restaurants, hotels, resorts and beach clubs. Manufactured by the hands of our master artisans, from residential to commercial use, our dynamic three-piece bistro set is turning heads. With the lowest prices on the market, you&#039;ll never pay over-inflated retail prices on our top-grade three piece bistro set. Share an evening with a close friend on your beach front property with a homemade dinner served on our easy to clean tempered glass table tops and feel the comfort of indentation load deflection (ILD) cushions, all of which come standard in every rattan outdoor 3 piece bistro set order. The elegance of our naturally aesthetic three-piece bistro set is unsurpassed, and we are committed to offer premium customer service with each 3 piece bistro set purchase.</p><p>Our selection of rattan 3 piece bistro set furniture collections are crafted in bold intricate designs. Solid and patterned fabrics come in shades and tints spanning the rainbow with the option of our exclusive Allure fabric line or Sunbrella textiles. Draw in a romantic touch with our intimate 3 piece bistro arranged for a night of enchantment. Our reliable 3 piece bistro furniture is durable and has the maximum strength of all-weather powder-coated, high-grade aluminum frames, Viro resin rattan and our fade resistant fabrics.</p><p>Order your rattan outdoor 3 piece bistro set online or contact our associates at <a href='tel:18442728826'>(844) 2-RATTAN</a> or <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",newCategoryImages/_MG_0678.jpg,3 Piece Bistro Set,3 Piece Bistro Set,Sit in style on the comfort of our plush 3 piece bistro set and encourage five-star dining in every setting. Find our wide selection at the lowest prices on the web with a five-year warranty. Shop now and save!,No,Products only,,No,,,No layout updates,
3 Piece Dining Set,Default Category/Products/Tables and Bases,2,Yes,3-piece-dining-set,"<p>Create your one-of-a-kind intimate dining space with our elegant 3 piece dining set. Designed by our master artisans, each 3 piece dining set is equipped with the highly sought after RAUCORD resin and the endurance of our rustproof, powder-coated aluminum frames. From our frames to our cushions, every aspect of our dynamic 3 piece dining set is crafted for your convenience by using low-maintenance and eco-friendly material. You&#039;ll only find the plush and comfort of Allure fabrics through our company and on our premier three piece dining set. Fade resistant and moisture prohibited, top-grade three-piece dining set has maximum durability built into every strand. Expose your superior three piece dining set to any environment and enjoy your own outdoors year after year.</p><p>Snug and inviting, our rattan outdoor three piece dining set is sure to bring you joy for years to come and they can be bought at the lowest prices on the market. Rattan Outdoor Furniture searches the competitive market to ensure that our prices continue to be inexpensive. To order your 3 piece dining set today, call us at <a href='tel:18442728826'>(844) 2-RATTAN</a>. We&#039;ll answer all of your questions and discuss all the customization options available with your rattan outdoor 3 piece dining set, such as our worry-free warranties, accessories and vinyl furniture covers. We are also available through email at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> where no matter what the time of day, your 3 piece dining set inquires can be addressed in a timely manner.</p>",newCategoryImages/_MG_0678.jpg,3 Piece Dining Set,3 Piece Dining Set,Dine in luxury and save with our 3 piece dining set available at the web&rsquo;s biggest discounts. We offer an amazing selection with clear depictions for your convenience alongside coordinating accessories and products.,No,Products only,,No,,,No layout updates,
3 Piece Sectional,Default Category/Products/Sectionals,1,Yes,3-piece-sectional,"<p>Looking for the perfect sized 3 piece sectional for your enclosed patio? We have our rattan three piece sectional that is right for any space big or small. Offering the lowest prices on the market and using the industry&#039;s most highly-sought after materials, our 3 piece sectional is skillfully crafted by the hands of our master artisans. Our eco-friendly Viro resin has the strength to resist moisture absorption and is firmly fastened to all-weather, powder-coated aluminum frames. Each top-grade 3 piece sectional is finished by the placement of our plush, indentation load deflection (ILD), high-density (HD) cushions and our incredible Allure fabrics only found at Rattan Outdoor Furniture. Our textiles endure long past our competitor&#039;s fabrics as they resist the formation of mold and mildew as well as are UV-inhibit so your three-piece sectional colors remain vibrant season after season.</p><p>Our rattan outdoor 3 piece sectional is designed for exceptional comfort, reliability and style. Our company ships your customized 3 piece sectional from our warehouse to your doorstep in a fast and efficient manner. Our knowledgeable representatives are ready to assist you throughout your 3 piece sectional purchasing process and provide you with the ultimate furniture shopping experience. Whether you&#039;re ordering our 3 piece sectional through our online store or on the phone, our sales team is always available to provide you with information on our 3 piece sectional as well as our entire rattan outdoor furniture collection. Call us now at <a href='tel:18442728826'>(844) 2-RATTAN</a> or emailing us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",newCategoryImages/Photos.AP-467.jpg,3 Piece Sectional,3 Piece Sectional,"Relax on our deep seated 3 piece sectional and feel our custom tailored cushions contour to your body&rsquo;s shape. Using highly sought after materials, nothing but satisfaction is found on all of our products.",No,Products only,,No,,,No layout updates,
3 Piece Sofa Set,Default Category/Products/Sofas,1,Yes,3-piece-sofa-set,"<p>How can you provide the comfort of a high-end rattan outdoor 3 piece sofa set with low-maintenance capabilities? Our beautiful 3 piece sofa set is constructed with rust resistant aluminum frames, plush high-density cushioning, and exclusive Allure fabrics that are both moisture and UV-ray resistant, allowing your 3 piece sofa set to remain stable in the harshest of weather conditions. Uncompromising strength merely starts our exclusive features, as our sophisticated 3 piece sofa set and outdoor furniture collections can be tailored to your home&#039;s current decor. Tailor your rattan 3 piece sofa set by selecting DACRON wrapped cushions, matching welting, or throw pillows upholstered in our excellent Sunbrella fabric selection.</p><p>Our limitless selection of 3 piece sofa set have optimal style and an array of unique designs. We personally craft each 3 piece sofa set to enable perfection to be constructed onto every collection. With the best prices on the market, our 3 piece sofa set furniture is beyond affordable. Our rattan outdoor 3 piece sofa set and incredible furniture collections can be bought directly online or by conversing with one of our customer service staff members. Inquire about purchasing unsurpassed 3 piece sofa set ready to shipped within 24-hours after you have completed your order.</p><p>Our highly-qualified Rattan Outdoor Furniture staff is ready to take your 3 piece sofa set orders and answer all questions. Call us at <a href='tel:18442728826'>(844) 2-RATTAN</a> or email us at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",newCategoryImages/_MG_0699.jpg,3 Piece Sofa Set,3 Piece Sofa Set,"Find pleasure in every asset of your patio with our uniquely tailored 3 piece sofa set. Quickly select your choice of color and style. With a few clicks, you&rsquo;ll be on your way to owning leading outdoor furniture.",No,Products only,,No,,,No layout updates,
4 Piece Bar Set,Default Category/Products/Furniture Sets,54,Yes,4-piece-bar-set,"<p>Who has the most durable 4 piece bar set on the market? Rattan Outdoor Furniture offers timeless appeal with our aesthetically pleasing 4 piece bar set crafted with the most sought after materials. Longevity is a commitment we place in all of our furniture products, and by crafting our four-piece bar set with Viro Resin strands, our artisans hand weave each piece to firmly fit onto our powder-coated aluminum frames. To complete the package, every top-grade 4 piece bar set has stools upholstered in our exclusive Allure fabrics. From our rattan made of eco-friendly high-density polyethylene to our tempered glass table tops and innovating textiles, each part of your incredible four-piece bar set will resist the absorption of water and repel sunlight to prevent color fading. We want our premium 4 piece bar set to not just grace every home, resort or beachside hotel but to provide lasting enjoyment for years past our competitors.</p><p>How quickly do we deliver our 4 piece bar set to your home or place or business? Select from our all-encompassing and in-stock four piece bar set to have your rattan outdoor furniture shipped to you within 24-hours after your completed purchase. Our customer service continues to provide maximum satisfaction with every four piece bar set order. That&#039;s because we offer a wide variety of option such as quick shipping, in-house designers and online customization. There&#039;s no need to hesitate any longer because your 4 piece bar set is just a click or phone call away. Contact our sales team at <a href='tel:18442728826'>(844) 2-RATTAN</a> or <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",newCategoryImages/_MG_0786.jpg,4 Piece Bar Set,4 Piece Bar Set,Tailor astonishing 4 piece bar set to perfectly complement your home at the industry&rsquo;s lowest prices. Rattan Outdoor Furniture offers premium products to ornate your home&rsquo;s exterior while also providing free shipping.,No,Products only,,No,,,No layout updates,
4 Piece Sectional,Default Category/Products/Sectionals,55,Yes,4-piece-sectional,"<p>Who has the industry&#039;s leading 4 piece sectional? Rattan Outdoor Furniture continues to provide the entire country with exquisite four-piece sectionals. In all 50 states our plush and hand-tailored 4 piece sectional is found in homes, resorts and country clubs. That&#039;s because we offer the lowest prices on the market on artisan crafted rattan outdoor furniture. Each four-piece sectional is designed to complement any surrounding from the ocean coastlines to the city lights. Our premier 4 piece sectional will remain a practical and attractive piece for any courtyard, balcony or front porch that continues to accommodate all of your guests year round.</p><p>Our rattan four piece sectional is not only aesthetically pleasing but is constructed from eco-friendly and highly-durable materials. Start with our 100% hand-woven RAUCORD resin with technological advancements enabling it to remain virtually maintenance free, and then our craftsmen firmly fasten each strand to our top-grade, rustproof, powder-coated aluminum frames that actually repel water. Lastly, each piece is upholstered in our exclusive Allure fabrics that inhibit moisture absorption, sunlight damage and color fading. We even offer customization options such as DACRON wrapped back cushions and patterned Sunbrella textiles. Talk with our trained in-house outdoor furniture designers and discuss how you can perfectly match our 4 piece sectional to your existing decor.</p><p>Order today online or through our friendly and knowledgeable sales staff reachable by our toll-free number <a href='tel:18442728826'>(844) 2-RATTAN</a>. Address all of your 4 piece sectional inquires to our email at sales@<a href='http://rattanoutdoorfurntiure.com' title='rattanoutdoorfurntiure.com' rel='external' target='_default'>rattanoutdoorfurntiure.com</a>.</p>",newCategoryImages/Photos.AP-467.jpg,4 Piece Sectional,4 Piece Sectional,Entertain with the comfort of our impressive 4 piece sectional sold at inventory clearance discounts every day. Rattan Outdoor Furniture provides premium luxury without the hefty price tag and also receive free delivery.,No,Products only,,No,,,No layout updates,
4 Piece Sofa Set,Default Category/Products/Sofas,2,Yes,4-piece-sofa-set,"<p>Want to shop with confidence for the industry&#039;s leading 4 piece sofa set? Rattan Outdoor Furniture offers our exquisite four piece sofa set at incredibly low prices. How low do we list our timelessly crafted 4 piece sofa set? Our company settles for nothing less the lowest price on the market. From residential to commercial, we want everyone to experience the all-encompassing perfection of our handcrafted four piece sofa set. Extremely dynamic, our attractive and aesthetically pleasing 4 piece sofa set complements any backdrop. From the ocean waves to the bright city lights, our incredible 4 piece sofa set seamlessly fits into any environment.</p><p>Our rattan outdoor four piece sofa set not only comes in a variety of colors and styles, but is crafted with top-grade, eco-friendly materials. Our 4 piece sofa set offers 100% hand-woven strength of RAUCORD resin with the all-weather resistant high-quality, high-density polyethylene and rustproof, powder-coated aluminum frames. Choose from our in-stock and exclusive Allure fabrics that are resistant to moisture and UV damage or from the variation of patterned Sunbrella fabrics. Hand-tailor your four-piece sofa set to feature contrasting welting and talk with our rattan outdoor furniture in-house designers who will discuss all of your 4 piece sofa set customization options.</p><p>Need assistance ordering your premier four piece sofa set online, or want answers to your rattan outdoor furniture questions? Contact our associates via our toll-free number <a href='tel:18442728826'>(844) 2-RATTAN</a> and you&#039;ll discover our five-star customer service. All 4 piece sofa set inquires can also be sent to our email, <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",newCategoryImages/_MG_0699.jpg,4 Piece Sofa Set,4 Piece Sofa Set,Bring confidence to your outdoors with our handcrafted 4 piece sofa set designed with your home&rsquo;s individuality in mind. Tailor each set to convey your sense of style and truly embrace your love of the unique.,No,Products only,,No,,,No layout updates,
